Regency/Municipality 17,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Kabupaten/Kota Asal di Sumatera Selatan (Perjalanan),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
South Sumatera,2244154,1953851,1752643,2840293,2162723,2476622,2348237,2161197,-,-,-,-,-
Ogan Komering Ulu,91127,76593,68865,120441,89258,103911,96116,84350,-,-,-,-,-
Ogan Komering Ilir,205236,176660,161281,260847,189202,219910,216329,192864,-,-,-,-,-
Muara Enim,180026,157007,143265,225040,179045,196604,193502,173945,-,-,-,-,-
Lahat,103645,83904,72601,120893,98982,109113,107964,97778,-,-,-,-,-
Musi Rawas,84879,70950,65487,100755,76386,85646,81859,76794,-,-,-,-,-
Musi Banyuasin,147369,124549,116258,201384,140192,163793,154202,144008,-,-,-,-,-
Banyuasin,225519,214730,204234,295704,233258,260529,251271,229872,-,-,-,-,-
Ogan Komering Ulu Selatan,54393,41435,37237,61216,49471,57983,58300,52675,-,-,-,-,-
Ogan Komering Ulu Timur,140611,120252,101567,176879,133249,154111,148628,133759,-,-,-,-,-
Ogan Ilir,134209,122732,116467,163795,133099,139721,127771,126531,-,-,-,-,-
Empat Lawang,53707,43637,37964,55604,53315,61403,62859,53716,-,-,-,-,-
Pali,54951,48036,44531,62075,53428,57507,56441,51284,-,-,-,-,-
Musi Rawas Utara,58715,48446,50870,66305,54994,57756,58371,54822,-,-,-,-,-
Palembang,492911,437903,374101,671188,470056,579388,512840,485025,-,-,-,-,-
Prabumulih,70970,63392,56533,89115,69667,77572,74406,70120,-,-,-,-,-
Pagar Alam,50292,40381,31956,53623,48376,48685,50659,43588,-,-,-,-,-
Lubuk Linggau,95594,83244,69426,115429,90745,102990,96719,90066,-,-,-,-,-
