Regency/Municipality 17,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Kabupaten/Kota Asal di Sumatera Selatan (Perjalanan),,,,,,,,,,,,
,2020,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
South Sumatera,607169,543278,452292,226436,221407,332612,471586,554600,473051,536485,496649,716661,5632226
Ogan Komering Ulu,22381,20883,17285,8930,8729,12459,17358,18955,16032,18170,16616,23864,201662
Ogan Komering Ilir,49422,41324,35198,18861,17444,26078,35135,40516,36372,41418,38478,57099,437345
Muara Enim,56596,51895,41730,19150,20604,30788,44099,50873,43225,48361,43960,62906,514187
Lahat,20685,20739,15913,7547,7394,11622,17052,19745,18715,20823,18374,27541,206150
Musi Rawas,23359,19315,17103,9526,8602,13081,18213,20119,17474,18793,17803,27197,210585
Musi Banyuasin,39023,32221,25981,12437,12631,18145,25230,27971,24110,27033,25582,41256,311620
Banyuasin,52991,46473,41805,24341,24634,33706,45940,54337,45532,52765,48729,72879,544132
Ogan Komering Ulu Selatan,13114,12738,10905,5499,4909,6941,9675,11409,10317,10624,10171,13626,119928
Ogan Komering Ulu Timur,42271,38541,31289,17652,16237,22071,29973,35136,30802,34589,32365,46273,377199
Ogan Ilir,37015,31396,27576,15116,14691,18947,25639,31042,26276,29309,27896,39366,324269
Empat Lawang,13429,13396,10075,5340,5197,7845,11022,13151,11688,12846,12258,17117,133364
Pali,15048,13454,11694,5616,5705,8231,11365,13295,11253,12313,11225,16615,135814
Musi Rawas Utara,13520,11536,9328,5111,5209,7221,10156,11360,9787,10607,11073,18278,123186
Palembang,149815,136285,113231,52360,50307,82972,123046,149451,123594,143183,131651,182486,1438381
Prabumulih,21040,18866,14989,6125,6665,11983,18146,21492,17845,21256,18919,25711,203037
Pagar Alam,11123,10786,8518,3629,3319,5563,7958,10898,9727,10583,9708,13871,105683
Lubuk Linggau,26337,23430,19672,9196,9130,14959,21579,24850,20302,23812,21841,30576,245684
